confidence,robustness,distribution,reliability
0.40098839177397394,0.9999999999999998,0.0839007190823836,0.32282400996408905
0.40098839177397394,1.0,0.07719940248537026,0.313989587631656
0.40098839177397394,1.0,0.07103333331680034,0.30539692866111307
0.40098839177397394,1.0,0.06535976030451608,0.2970394169409646
0.40098839177397394,0.9999999999999998,0.060139346805134795,0.28891061741664137
0.40098839177397394,0.9999999999999996,0.05533589807088655,0.2810042711356862
0.40098839177397394,0.9999999999999998,0.0509161103001887,0.27331429042853134
0.40098839177397394,1.0,0.04684933973204869,0.2658347542211609
0.40098839177397394,0.9999999999999998,0.04310739018335389,0.2585599034760458
0.9018911274023627,0.9404298949740908,0.8377458018782503,0.8923411764151126
0.9266105883176938,0.9421907483395745,0.910466569986124,0.9263320692453757
0.8592590695306191,0.9234656318101372,0.9655602616119403,0.9150428149693199
0.9184908920065353,0.9105054505773899,0.8884390512418222,0.9057222037148516
0.8986282923244958,0.9773659869635658,0.8174776646811707,0.8954425651176685
0.8660197313690337,0.9949374360920492,0.7521841046029006,0.8653980327289553
0.7779936961026385,0.9954055338620543,0.6921056704808332,0.8122994866509845
0.7322614054788985,0.9921861064599835,0.6368258198763808,0.7734400376357702
0.7322614054788985,0.9921861064599835,0.5859612804204812,0.7522740285088547
0.7322614054788985,0.9921861064599835,0.5391593924672531,0.7316872497302026
0.7322614054788985,0.9921861064599835,0.49609566399516797,0.7116638500453647
0.7322614054788985,0.9921861064599841,0.45647152080310754,0.6921884119863261
0.7322614054788985,0.9921861064599838,0.4200122364027181,0.6732459400004794
0.7198577663132655,0.9922750785006748,0.38646502725436144,0.6511229340721613
0.6190641709670631,0.994045223200683,0.3555973001403435,0.6026059595414622
0.6190641709670631,0.9940452232006828,0.3271950395239148,0.5861150066311672
0.6190641709670631,0.994045223200683,0.3010613237130995,0.570075346184187
0.6190641709670631,0.9940452232006832,0.2770149595414601,0.5544746281023463
0.6190641709670631,0.9940452232006828,0.25488922609961223,0.5393008402610395
0.6190641709670631,0.9940452232006832,0.23453071880739193,0.524542299260226
0.6190641709670631,0.994045223200683,0.21579828581226818,0.5101876414285305
0.6190641709670631,0.994045223200683,0.1985620493397201,0.4962258140735299
0.6190641709670631,0.994045223200683,0.18270250521029854,0.48264606697148293
0.6190641709670631,0.994045223200683,0.16810969428004313,0.46943794408995315
0.6190641709670631,0.994045223200683,0.15468244005959345,0.45659127553695084
0.6190641709670631,0.9940452232006828,0.1423276472261727,0.44409616973039545
0.6190641709670631,0.9940452232006828,0.1309596561648079,0.43194300578186934
0.6190641709670631,0.9940452232006826,0.1204996490636213,0.42012242608879713
0.6190641709670631,0.9940452232006832,0.11087510344546715,0.40862532912934946
0.6190641709670631,0.994045223200683,0.10201928934707886,0.39744286245452015
0.6190641709670631,0.9940452232006832,0.09387080665951351,0.38656641587198465
0.6190641709670631,0.9940452232006832,0.08637315942213106,0.37598761481648696
0.6190641709670631,0.994045223200683,0.07947436411855732,0.3656983139016556
0.6190641709670631,0.994045223200683,0.07312658925882314,0.35569059064827885
0.6190641709670631,0.994045223200683,0.0672858237487928,0.34595673938421384
0.6190641709670631,0.9940452232006828,0.06191157174758225,0.33648926531123013
0.6190641709670631,0.9940452232006828,0.056966571897320295,0.3272808787342211
0.6190641709670631,0.9940452232006828,0.052416538978584254,0.31832448944833874
